0,1.00E-06,1.7,0,3.05E-10,9.80E-12,8.10E-13,3.26E-14,31.1424,9.80E-07,1.49E+03,376.81,5.62E+05
5.00E-02,1.00E-06,1.7,0,1.44E-09,4.64E-11,3.84E-12,3.19E-14,31.0756,4.64E-06,7.19E+03,376.073,2.71E+06
1.00E-01,1.00E-06,1.7,0,6.77E-09,2.19E-10,1.81E-11,3.13E-14,30.9322,2.19E-05,3.44E+04,374.494,1.29E+07
1.50E-01,1.00E-06,1.7,0,3.13E-08,1.02E-09,8.43E-11,3.08E-14,30.6297,1.02E-04,1.62E+05,371.178,6.00E+07
2.00E-01,1.00E-06,1.7,0,1.40E-07,4.66E-09,3.84E-10,3.03E-14,30.0162,4.66E-04,7.35E+05,364.514,2.68E+08
2.50E-01,1.00E-06,1.7,0,5.88E-07,2.04E-08,1.67E-09,2.98E-14,28.8654,2.04E-03,3.14E+06,352.28,1.10E+09
3.00E-01,1.00E-06,1.7,0,2.23E-06,8.26E-08,6.68E-09,2.95E-14,27.0013,8.26E-03,1.20E+07,333.514,4.01E+09
3.50E-01,1.00E-06,1.7,0,7.40E-06,3.00E-07,2.36E-08,2.95E-14,24.619,3.00E-02,3.99E+07,313.075,1.25E+10
4.00E-01,1.00E-06,1.7,0,2.16E-05,9.70E-07,7.15E-08,3.10E-14,22.3054,9.70E-02,1.11E+08,302.652,3.36E+10
4.50E-01,1.00E-06,1.7,0,5.67E-05,2.81E-06,1.83E-07,3.79E-14,20.2048,2.81E-01,2.38E+08,309.242,7.37E+10
5.00E-01,1.00E-06,1.7,0,1.29E-04,7.27E-06,3.98E-07,5.30E-14,17.7764,7.27E-01,3.88E+08,324.826,1.26E+11
5.50E-01,1.00E-06,1.7,0,2.45E-04,1.65E-05,7.32E-07,6.53E-14,14.8807,1.6465,5.97E+08,334.819,2.00E+11
6.00E-01,1.00E-06,1.7,0,3.88E-04,3.22E-05,1.17E-06,6.96E-14,12.0298,3.222,8.86E+08,332.547,2.95E+11
6.50E-01,1.00E-06,1.7,0,5.34E-04,5.53E-05,1.66E-06,7.06E-14,9.6594,5.5278,1.20E+09,320.85,3.86E+11
7.00E-01,1.00E-06,1.7,0,6.71E-04,8.55E-05,2.20E-06,7.08E-14,7.854,8.5453,1.51E+09,304.883,4.60E+11
7.50E-01,1.00E-06,1.7,0,7.96E-04,1.22E-04,2.76E-06,7.09E-14,6.515,12.2178,1.79E+09,287.961,5.15E+11
8.00E-01,1.00E-06,1.7,0,9.09E-04,1.65E-04,3.35E-06,7.09E-14,5.5155,16.4848,2.04E+09,271.461,5.54E+11
8.50E-01,1.00E-06,1.7,0,1.01E-03,2.13E-04,3.96E-06,7.08E-14,4.7542,21.2917,2.27E+09,255.738,5.82E+11
9.00E-01,1.00E-06,1.7,0,1.11E-03,2.66E-04,4.59E-06,7.08E-14,4.1599,26.5903,2.49E+09,240.762,5.99E+11
9.50E-01,1.00E-06,1.7,0,1.19E-03,3.23E-04,5.26E-06,7.08E-14,3.685,32.3369,2.68E+09,226.411,6.06E+11
1,1.00E-06,1.7,0,1.27E-03,3.85E-04,5.97E-06,7.08E-14,3.2973,38.4908,2.85E+09,212.575,6.07E+11
1.05,1.00E-06,1.7,0,1.34E-03,4.50E-04,6.72E-06,7.08E-14,2.975,45.0132,3.01E+09,199.18,6.00E+11
1.1,1.00E-06,1.7,0,1.40E-03,5.19E-04,7.53E-06,7.08E-14,2.703,51.8673,3.15E+09,186.188,5.87E+11
1.15,1.00E-06,1.7,0,1.46E-03,5.90E-04,8.40E-06,7.07E-14,2.4703,59.0181,3.28E+09,173.586,5.69E+11
